#################  items.txt            ECheck V4 und höher ################
# Diese Datei enthält die Liste aller Items 
#
# Umlaute dürfen nicht umschrieben werden, sondern als UTF-8 kodiert:
# ae=ä, oe=ö, ue=ü, Ae=Ä, Oe=Ö, Ue=Ü, sz=ß. Trennzeichen ist ;
#
# Kommentare mit einem # davor; Leerzeilen sind erlaubt
#
# Pro Zeile gilt:
#   erster Eintrag: Einzahl;
#   zweiter Eintrag: Mehrzahl
#   dritter und weitere Einträge: weitere Alternativen
#	ist der dritte Eintrag eine Zahl, so ist dies der Einkaufspreis
#	für ein Luxusgut!
############################################################################

Balsam; Balsam, 4
Gewürz; Gewürze; 5
Juwel; Juwelen, 7
Myrrhe; Myrrhe, 5
Öl; Öl, 3
Seide; Seide, 6
Weihrauch; Weihrauch, 4

Eisen; Eisen
Holz; Holz
Mallorn; Mallorn
Stein; Steine
Katapultmunition; Katapultmunition
Laen; Laen
Adamantium; Admantium
Pferd; Pferde
Elfenpferd; Elfenpferde
Samen; Samen
Mallornsamen; Mallornsamen
Mallornsamen; Mallornsamen
Wagen; Wagen

Katapult; Katapulte
Schwert; Schwerter
Schartiges Schwert; Schartige Schilde
Laenschwert; Laenschwerter
Flammenschwert; Flammenschwerter
Runenschwert; Runenschwerter
Speer; Speere
Mallornspeer; Mallornspeere
Armbrust; Armbrüste
Mallornarmbrust; Mallornarmbrüste
Bogen; Bögen
Mallornbogen; Mallornbögen
Elfenbogen; Elfenbögen
Bihänder; Bihänder
Rostiger Zweihänder; Rostige Zweihänder
Kriegsaxt; Kriegsäxte
Rostige Kriegsaxt; Rostige Kriegsäxte
Adamantiumaxt; Admantiumäxte
Hellebarde; Hellebarden
Rostige Hellebarde; Rostige Hellebarden
Lanze; Lanzen
Mallornlanze; Mallornlanzen

Kettenhemd; Kettenhemden
Rostiges Kettenhemd; Rostige Kettenhemden
Laenkettenhemd; Laenkettenhemden
Adamantiumrüstung; Adamantiumrüstungen
Plattenpanzer; Plattenpanzer
Schild; Schilde
Rostiger Schild; Rostige Schilde
Laenschild; Laenschilde

Sonnensegel; Sonnensegel
Schneekugel; Schneekugeln
Schneemann; Schneemänner
Weihnachtsbaum; Weihnachtsbäume
Sternenstaub; Sternenstaub
Apfel; Äpfel
Nuss; Nüsse
Mandelkern; Mandelkerne
Keks; Kekse
Geburtstagstorte; Geburtstagstorten
Mistelzweig; Mistelzweige
Schneeball; Schneebälle
Talenttrunk; Talenttrünke
Amulett des Wahren Sehens; Amulette des Wahren Sehens
Amulett der Keuschheit; Amulette der Keuschheit
Amulett der Heilung; Amulette der Heilung
Amulett des Treffens; Amulette des Treffens
Ring der Flinken Finger; Ringe der Flinken Finger
Ring der Macht; Ringe der Macht
Ring der Unsichtbarkeit; Ringe der Unsichtbarkeit
Magischer Kräuterbeutel; Magische Kräuterbeutel
Zauberbeutel; Zauberbeutel
Gürtel der Trollstärke; Gürtel der Trollstärke
Sphäre der Unsichtbarkeit; Sphären der Unsichtbarkeit	
Tiegel mit Krötenschleim; Tiegel mit Krötenschleim
Antimagiekristall; Antimagiekristalle
Feenstiefel; Feenstiefel		
Augen des Drachen; Augen des Drachen
Ring der Levitation; Ringe der Levitation
Muschel; Muscheln
Zwergenbart; Zwergenbärte
Meermenschenschuppe; Meermenschenschuppen
Elfenohr; Elfenohren
Trollhorn; Trollhörner
Dämonenblut; Dämonenblut
Goblinkopf; Goblinköpfe
Menschenskalp; Menschenskalpe
Insektenfühler; Insektenfühler
Katzenschwanz; Katzenschwänze
Halblingsfuß; Halblingsfüße
Orkhauer; Orkhauer
Drachenblut; Drachenblut
Drachenkopf; Drachenköpfe
Seeschlangenkopf; Seeschlangenköpfe

# So, das waren die offiziellen Items; diese Liste sollte man nicht ändern,
# wenn man auf das Ergebnis von ECheck Wert legt...
# Man kann aber neue Items anhängen; nein, ich werde keine Fragen zu
# etwaigen neuen Items beantworten, ebensowenig jemand anders aus dem
# Design-Team - Faroul

